t,ball_x,ball_y,holder_id,holder_team,reward,team0_r,team1_r
86828,497.9313201904297,170.4264678955078,51189,1,0.0,0.0,0.01
86830,489.6446228027344,170.64464569091797,51189,1,0.0,0.0,0.01
86831,489.3251647949219,170.61825561523438,51189,1,0.0,0.0,0.01
86834,479.8919677734375,170.14259338378906,51189,1,0.0,0.0,0.01
86835,479.19175720214844,170.49974060058594,51189,1,0.0,0.0,0.01
86836,478.2442626953125,170.39705657958984,51189,1,0.0,0.0,0.01
86837,477.3528747558594,170.05459594726562,51189,1,0.0,0.0,0.01
86838,477.08262634277344,169.94203186035156,51189,1,0.0,0.0,0.01
86839,476.20367431640625,169.83255767822266,51189,1,0.0,0.0,0.01
86840,475.4643096923828,169.64764404296875,51189,1,0.0,0.0,0.01
86841,475.2011413574219,169.5778350830078,51189,1,0.0,0.0,0.01
86842,474.33673095703125,169.52090454101562,51189,1,0.0,0.0,0.01
86843,473.5467834472656,169.43032836914062,51189,1,0.0,0.0,0.01
86844,473.2523193359375,169.3546905517578,51189,1,0.0,0.0,0.01
86845,472.2505645751953,169.54994201660156,51189,1,0.0,0.0,0.01
86868,486.8343200683594,164.93075561523438,51189,1,0.0,0.0,0.01
86871,506.05308532714844,164.86290740966797,51189,1,0.0,0.0,0.01
86874,523.5973815917969,165.79727935791016,51189,1,0.0,0.0,0.01
86877,539.5666198730469,164.6260223388672,51189,1,0.0,0.0,0.01
86880,554.837158203125,164.81458282470703,51189,1,0.0,0.0,0.01
86882,564.6827697753906,164.52720642089844,51189,1,0.0,0.0,0.01
86884,573.2731628417969,164.2328338623047,51189,1,0.0,0.0,0.01
86888,590.0741882324219,164.02428436279297,51189,1,0.0,0.0,0.01
86891,598.7372131347656,163.89605712890625,51189,1,0.0,0.0,0.01
86895,612.3296203613281,163.29749298095703,51189,1,0.0,0.0,0.01
86899,626.4103393554688,162.9581298828125,51189,1,0.0,0.0,0.01
86900,628.8539123535156,162.97621154785156,51189,1,0.0,0.0,0.01
86901,629.57470703125,162.8402862548828,51189,1,0.0,0.0,0.01
87235,591.1598205566406,190.16709899902344,51482,1,1.2,0.0,0.01
87237,583.3398742675781,189.06666564941406,51482,1,0.0,0.0,0.01
87241,555.778564453125,186.4137725830078,51482,1,0.0,0.0,0.01
87245,534.0074768066406,188.3784942626953,51189,1,1.2,0.0,0.01
87248,521.3606872558594,182.67193603515625,51189,1,0.0,0.0,0.01
87252,504.9359588623047,178.61502075195312,51189,1,0.0,0.0,0.01
87255,493.6692199707031,178.38214111328125,51189,1,0.0,0.0,0.01
87259,478.57875061035156,180.24590301513672,51189,1,0.0,0.0,0.01
87262,470.7781524658203,176.19896697998047,51189,1,0.0,0.0,0.01
87264,466.3333740234375,174.7531967163086,51189,1,0.0,0.0,0.01
87267,458.3397979736328,174.3244400024414,51189,1,0.0,0.0,0.01
87269,457.9521179199219,172.52408599853516,51189,1,0.0,0.0,0.01
87270,457.8628234863281,172.23787689208984,51189,1,0.0,0.0,0.01
87274,488.20472717285156,161.20392608642578,51189,1,0.0,0.0,0.01
87275,490.8590087890625,160.38995361328125,51189,1,0.0,0.0,0.01
87278,508.74098205566406,155.5047149658203,51189,1,0.0,0.0,0.01
87282,532.0518798828125,153.33106231689453,51482,1,1.2,0.0,0.01
87285,544.2619018554688,153.73049926757812,51482,1,0.0,0.0,0.01
87289,564.0691833496094,156.3209228515625,51482,1,0.0,0.0,0.01
87293,582.1636657714844,162.60308074951172,51482,1,0.0,0.0,0.01
87295,589.2103881835938,166.18781280517578,51482,1,0.0,0.0,0.01
87298,600.8302001953125,164.7179946899414,51482,1,0.0,0.0,0.01
87301,609.1324462890625,161.44512176513672,51482,1,0.0,0.0,0.01
87304,615.0201721191406,159.4372787475586,51482,1,0.0,0.0,0.01
87307,623.2799377441406,158.7074737548828,51482,1,0.0,0.0,0.01
87308,623.4795837402344,158.72449493408203,51482,1,0.0,0.0,0.01
87312,634.13720703125,162.0806655883789,51482,1,0.0,0.0,0.01
87314,637.5708618164062,163.8298568725586,51482,1,0.0,0.0,0.01
87315,637.6857299804688,163.79347229003906,51482,1,0.0,0.0,0.01
87364,638.3021240234375,161.98345947265625,51482,1,0.0,0.0,0.01
87365,638.21826171875,162.02918243408203,51482,1,0.0,0.0,0.01
87366,637.9579772949219,161.98592376708984,51482,1,0.0,0.0,0.01
87367,637.8744506835938,161.9871826171875,51482,1,0.0,0.0,0.01
87368,637.5382080078125,162.15826416015625,51482,1,0.0,0.0,0.01
87369,636.9927062988281,162.3492202758789,51482,1,0.0,0.0,0.01
87370,636.6327819824219,162.37710571289062,51482,1,0.0,0.0,0.01
87371,636.5101623535156,162.3843536376953,51482,1,0.0,0.0,0.01
87372,636.0780334472656,162.3109359741211,51482,1,0.0,0.0,0.01
87373,635.8631286621094,162.34471893310547,51482,1,0.0,0.0,0.01
87374,635.7940063476562,162.35586547851562,51482,1,0.0,0.0,0.01
87375,635.7613525390625,162.0620574951172,51482,1,0.0,0.0,0.01
87378,635.8453063964844,153.52086639404297,51482,1,0.0,0.0,0.01
87381,636.1824340820312,148.22103881835938,51482,1,0.0,0.0,0.01
87384,636.7481689453125,140.66941833496094,51482,1,0.0,0.0,0.01
87385,636.8580932617188,138.8608856201172,51482,1,0.0,0.0,0.01
87386,636.9150390625,138.23323822021484,51482,1,0.0,0.0,0.01
87388,637.1291809082031,134.29476928710938,51482,1,0.0,0.0,0.01
87389,637.2627868652344,132.12109375,51482,1,0.0,0.0,0.01
87409,637.1738891601562,133.13885498046875,51482,1,0.0,0.0,0.01
87410,637.0977478027344,134.2771987915039,51482,1,0.0,0.0,0.01
87412,636.8835144042969,139.25393676757812,51482,1,0.0,0.0,0.01
87413,636.8404846191406,141.45087432861328,51482,1,0.0,0.0,0.01
87415,636.48486328125,150.07111358642578,51482,1,0.0,0.0,0.01
87417,636.3350524902344,154.9376983642578,51482,1,0.0,0.0,0.01
87420,635.7115478515625,172.03882598876953,51482,1,0.0,0.0,0.01
87422,635.2529907226562,178.32456970214844,51482,1,0.0,0.0,0.01
87755,627.6088562011719,164.9812774658203,51565,1,1.2,0.0,0.01
87757,612.6282958984375,171.51231384277344,51565,1,0.0,0.0,0.01
87759,603.0956726074219,177.04861450195312,51565,1,0.0,0.0,0.01
87761,593.8450012207031,179.44801330566406,51565,1,0.0,0.0,0.01
87763,587.4219360351562,174.3659210205078,51565,1,0.0,0.0,0.01
87765,580.9017333984375,170.77693939208984,51565,1,0.0,0.0,0.01
87768,568.8836364746094,165.5874252319336,51565,1,0.0,0.0,0.01
87771,558.7434387207031,163.07327270507812,51565,1,0.0,0.0,0.01
87773,552.8152770996094,162.59925079345703,51565,1,0.0,0.0,0.01
87774,552.8150329589844,162.59971618652344,51565,1,0.0,0.0,0.01
87777,539.2123718261719,163.31529235839844,51565,1,0.0,0.0,0.01
87778,539.2436218261719,163.3585433959961,51565,1,0.0,0.0,0.01
87781,525.7667236328125,167.78668975830078,51565,1,0.0,0.0,0.01
87782,525.7916259765625,167.8965606689453,51565,1,0.0,0.0,0.01
87785,518.2995910644531,164.82073211669922,51565,1,0.0,0.0,0.01
87787,514.1616058349609,162.27003479003906,51189,1,1.2,0.0,0.01
87788,512.5438232421875,161.6170654296875,51189,1,0.0,0.0,0.01
87789,512.0091552734375,161.40131378173828,51189,1,0.0,0.0,0.01
87790,511.8948211669922,161.35511016845703,51189,1,0.0,0.0,0.01
87792,506.62696838378906,160.40473175048828,51189,1,0.0,0.0,0.01
87793,506.62408447265625,160.40524291992188,51189,1,0.0,0.0,0.01
87795,500.3154602050781,161.6520538330078,51189,1,0.0,0.0,0.01
87797,496.89292907714844,162.65113830566406,51189,1,0.0,0.0,0.01
87799,493.6942443847656,164.45316314697266,51189,1,0.0,0.0,0.01
87800,492.32835388183594,164.44436645507812,51189,1,0.0,0.0,0.01
87801,491.8150634765625,164.48825073242188,51189,1,0.0,0.0,0.01
87803,488.25091552734375,162.53087615966797,51189,1,0.0,0.0,0.01
87804,487.0218963623047,162.2685775756836,51189,1,0.0,0.0,0.01
87805,484.83758544921875,162.12897491455078,51189,1,0.0,0.0,0.01
87806,484.2279815673828,162.09498596191406,51189,1,0.0,0.0,0.01
87807,482.47242736816406,162.2451629638672,51189,1,0.0,0.0,0.01
87808,481.92555236816406,162.2928009033203,51189,1,0.0,0.0,0.01
87809,480.0653991699219,162.94380950927734,51189,1,0.0,0.0,0.01
87810,477.9503936767578,162.67513275146484,51189,1,0.0,0.0,0.01
87811,477.2400665283203,162.57779693603516,51189,1,0.0,0.0,0.01
87812,475.6737518310547,162.24270629882812,51189,1,0.0,0.0,0.01
87813,475.1552429199219,162.11544036865234,51189,1,0.0,0.0,0.01
87814,473.7437744140625,161.80455780029297,51189,1,0.0,0.0,0.01
87815,472.30572509765625,161.99169158935547,51189,1,0.0,0.0,0.01
87816,471.822265625,162.05785369873047,51189,1,0.0,0.0,0.01
87817,470.3359375,162.36569213867188,51189,1,0.0,0.0,0.01
87818,468.92332458496094,162.14102172851562,51189,1,0.0,0.0,0.01
87819,468.4456024169922,162.0510482788086,51189,1,0.0,0.0,0.01
87820,467.68096923828125,161.9509048461914,51189,1,0.0,0.0,0.01
87821,466.4088897705078,162.01456451416016,51189,1,0.0,0.0,0.01
87822,465.9666442871094,162.05548095703125,51189,1,0.0,0.0,0.01
87834,453.9330596923828,159.88199615478516,51189,1,0.0,0.0,0.01
87835,452.95631408691406,159.78150177001953,51189,1,0.0,0.0,0.01
87836,451.8980712890625,159.74713897705078,51189,1,0.0,0.0,0.01
87837,451.6158447265625,159.7444305419922,51189,1,0.0,0.0,0.01
87839,450.25437927246094,159.58621215820312,51189,1,0.0,0.0,0.01
87840,449.04949951171875,159.64798736572266,51189,1,0.0,0.0,0.01
87850,466.8988494873047,156.78399658203125,51189,1,0.0,0.0,0.01
87853,483.29168701171875,156.17518615722656,51189,1,0.0,0.0,0.01
87856,499.6540222167969,157.4361114501953,51189,1,0.0,0.0,0.01
87859,515.4228210449219,159.4988250732422,51189,1,0.0,0.0,0.01
87862,530.7909851074219,161.8784942626953,51565,1,1.2,0.0,0.01
87864,536.1678161621094,161.47872924804688,51565,1,0.0,0.0,0.01
87866,546.69140625,160.42430877685547,51565,1,0.0,0.0,0.01
87868,556.9315185546875,160.91336059570312,51565,1,0.0,0.0,0.01
87870,562.1643371582031,161.39149475097656,51565,1,0.0,0.0,0.01
87873,576.5452880859375,163.17330932617188,51565,1,0.0,0.0,0.01
87875,582.8271789550781,162.73661041259766,51565,1,0.0,0.0,0.01
87878,593.0330505371094,162.90436553955078,51565,1,0.0,0.0,0.01
87882,605.3435974121094,163.4369125366211,51565,1,0.0,0.0,0.01
87884,612.1700744628906,163.0182876586914,51565,1,0.0,0.0,0.01
87885,612.5665283203125,163.0322265625,51565,1,0.0,0.0,0.01
87886,614.8320617675781,163.1609878540039,51565,1,0.0,0.0,0.01
87887,617.8021545410156,163.5495376586914,51565,1,0.0,0.0,0.01
87889,622.3583984375,164.6353302001953,51565,1,0.0,0.0,0.01
87890,625.1132202148438,164.60045623779297,51565,1,0.0,0.0,0.01
87891,626.0316772460938,164.5340118408203,51565,1,0.0,0.0,0.01
87892,628.9495849609375,164.3113555908203,51565,1,0.0,0.0,0.01
87893,631.5918273925781,164.1482162475586,51565,1,0.0,0.0,0.01
