player_id,touches
65015,1
65032,1
65152,1
65184,21
65193,4
65277,2
65279,3
65298,1
65311,1
65332,2
65337,2
65397,8
65424,1
65425,1
65494,3
65505,1
65511,1
65515,4
65524,3
65546,1
65611,1
65665,19
65732,1
65740,9
65759,2
65768,12
66179,13
66216,1
66339,11
66470,2
66479,6
66490,2
66495,4
66551,1
66650,2
66709,1
66750,2
66770,1
66790,3
66815,7
66925,8
67194,1
67210,3
67225,1
67237,1
67277,6
67280,2
67281,1
67296,2
67301,4
67362,4
67390,2
67407,2
67471,1
67498,8
67502,5
67553,2
67556,1
67564,1
67580,1
67586,2
67622,22
67632,3
67673,2
67694,1
67844,18
67943,2
67968,3
67983,2
67987,3
68057,6
68066,3
68115,3
68212,2
68223,4
68230,1
68278,2
68312,1
68497,6
68514,2
68582,2
68599,2
68629,8
68706,1
68816,1
68817,3
68818,1
68825,1
68827,1
68837,8
68855,3
69082,1
69089,2
69112,1
69117,2
69118,1
69122,1
69149,1
69164,1
69165,3
69278,7
69428,3
69471,14
69490,1
69587,1
69595,5
69620,2
69646,3
69682,1
69702,11
69730,2
69750,1
69836,1
69846,13
69853,3
69881,2
69882,9
69937,10
70091,7
70123,3
70127,2
70139,2
70199,1
70208,6
70242,4
70398,13
70573,29
70583,2
70641,2
70792,1
70819,6
70943,1
70957,6
70966,1
71006,6
71017,1
71028,3
71056,5
71092,1
71102,1
71111,2
71140,11
71231,1
71240,1
71260,1
71276,7
71296,2
71377,2
71378,2
71379,4
71443,1
71454,1
71460,2
71465,1
71468,2
71471,3
71528,2
71542,3
71556,2
71560,1
71588,1
71589,1
71789,1
71824,1
71825,1
71830,6
71859,4
71903,1
71914,3
71932,2
71953,2
71971,1
72009,6
72016,8
72080,1
72097,5
72133,1
72136,2
72139,1
72145,1
72146,1
72171,20
72172,5
72211,1
72212,5
72265,1
72309,1
72310,5
72314,1
72315,1
72322,24
72323,1
72358,1
72360,2
72445,1
72455,1
72566,3
72573,1
72576,16
72577,3
72622,4
72707,2
72731,2
72768,3
72872,2
72951,1
72957,1
73031,3
73040,3
73063,3
73080,5
73102,39
73116,4
73120,7
73156,1
73173,20
73181,56
73361,1
73445,2
73498,2
73834,7
73846,2
73848,2
73864,1
73871,1
73878,1
73887,1
73925,6
73931,129
73974,1
74018,1
74073,9
74087,10
74222,5
74224,13
74230,4
74245,1
74247,2
74248,29
74283,28
74292,1
74303,1
74317,7
74361,1
74366,12
74472,1
74498,1
74503,2
74517,3
74534,6
74545,2
74566,4
74576,2
74639,1
74648,6
74953,8
74972,8
75020,2
75046,1
75075,1
75095,2
75097,1
75107,13
75154,2
75208,6
75317,5
75469,1
75476,1
75552,1
75555,1
75556,1
75578,4
75598,1
75599,1
75612,1
75657,2
75665,1
75690,1
75754,6
75838,7
75845,1
75848,1
75850,1
75901,1
75906,2
75943,1
75945,3
75958,1
75993,6
76053,1
76055,1
76076,1
76107,4
76145,1
76155,5
76159,1
76189,1
76211,6
76237,1
76261,6
76271,10
76319,9
76371,2
76425,2
76439,3
76444,2
76459,1
76506,1
76528,1
76558,1
76576,1
76585,3
76589,8
76711,1
76729,7
76740,12
76791,1
76798,2
76980,1
77111,4
77655,2
77667,1
77669,1
77681,6
77700,5
77722,12
77756,1
77768,2
77815,17
77830,2
77846,3
77847,3
77849,1
77852,3
77867,5
77888,21
77900,2
77901,2
77949,3
78173,1
78245,1
78246,1
78279,3
78372,1
78417,5
79093,1
79123,1
79142,1
79177,30
79194,11
79305,1
79357,1
79370,2
79401,16
79408,2
79461,2
79542,1
79592,1
79603,1
79613,1
79623,1
79638,1
79650,3
79652,1
79926,5
79990,1
80005,2
80017,1
80030,2
80065,1
80068,1
80075,1
80077,1
80210,1
80326,202
80355,2
80361,1
80369,2
80375,28
80433,86
80525,2
80539,5
80556,1
80639,3
80718,1
80819,1
80820,1
80831,29
80844,1
80847,101
80896,1
80935,2
80972,1
81014,1
81026,3
81085,1
81094,2
81128,2
81218,2
81277,9
81349,1
81351,1
81395,7
81420,6
81422,1
81430,1
81443,1
81459,1
81496,1
81498,3
81500,1
81534,1
81566,1
81582,1
81584,1
81702,4
81727,3
81786,1
81868,1
81923,4
81943,1
81946,1
82124,6
82177,2
82246,1
82454,2
82564,15
82576,1
82617,4
82633,2
82733,1
82748,2
82967,3
83036,1
83113,1
83234,3
83302,5
83313,6
83358,2
83387,1
83433,1
83447,10
83485,1
83572,1
83587,3
83589,1
83604,7
83619,3
83637,2
83646,3
83648,1
83687,1
83797,1
83799,1
83880,19
83907,4
83972,17
83973,2
84019,3
84041,3
84108,1
84150,46
84173,21
84223,1
84236,1
84255,4
84275,1
84288,2
84322,1
84329,64
84377,2
84382,1
84419,3
84437,1
84442,1
84504,1
84552,1
84568,1
84573,1
84593,7
84597,25
84607,1
84628,14
84629,11
84722,15
84725,1
84782,1
84794,1
84795,2
84917,1
84939,1
84969,1
84996,6
85030,1
85058,2
85061,4
85108,2
85154,9
85209,4
85268,1
85293,2
85301,2
85322,2
85339,1
85340,3
85394,3
85781,1
85846,1
85849,7
85903,3
85905,9
85930,1
85955,1
86036,2
86057,1
86148,3
86248,1
86266,3
86288,2
86368,1
86390,1
86440,12
86501,1
86510,1
86517,7
86607,1
86609,1
86627,1
86644,1
86718,2
86722,4
86729,1
