from,to,count
75046,75208,1
75075,75097,1
75095,75046,1
75097,75107,1
75107,75154,1
75154,75095,1
75154,75317,1
75208,75154,1
75317,75476,1
75469,75555,1
75476,75552,1
75552,75556,1
75555,75657,1
75556,75469,1
75578,75690,1
75599,75578,1
75657,75598,1
75690,75848,1
75754,75906,1
75838,75754,1
75838,75943,1
75850,75845,1
75901,75838,1
75906,75901,1
75943,75958,1
75945,76055,1
75958,75993,1
76055,76155,1
76076,76237,1
76107,76155,1
76145,76271,1
76155,76211,1
76155,76261,1
76189,76145,1
76211,76076,1
76271,76155,1
76425,76439,1
76439,76506,1
76459,76558,1
76506,76459,1
76528,-1,1
76585,76589,2
76589,76528,1
76589,76585,1
76711,76791,1
76729,76740,1
76740,76729,2
76740,76798,1
76798,76980,1
76980,77111,1
77111,77655,1
77669,77681,1
77681,77722,1
77722,77768,1
77722,77815,1
77722,78245,1
77815,77867,1
77846,77852,1
77847,77815,2
77852,77846,1
77867,77700,1
77867,77830,1
77901,77847,1
77949,77847,1
78245,78279,1
78246,78417,1
78279,78173,1
78372,78417,1
78417,78246,1
78417,79123,1
79142,79093,1
79177,79305,1
79305,79357,1
79357,79408,1
79401,79461,1
79401,79592,1
79401,79623,1
79461,79370,1
79592,79401,1
79613,79926,1
79623,79650,1
79638,79613,1
79650,79638,1
79652,79603,1
79926,80005,1
80005,79990,1
80017,80065,1
80030,80075,1
80065,80210,1
80068,80017,1
80077,80068,1
80210,80361,1
80326,80355,1
80326,80433,2
80326,80556,1
80326,80820,1
80326,80972,1
80355,80326,1
80361,80326,1
80369,80326,1
80433,80847,1
80539,80326,1
80556,80718,1
80639,80539,2
80718,80539,1
80819,80539,1
80820,80819,1
80844,80326,1
80847,80831,1
81014,81085,1
81026,81128,1
81094,81218,1
81128,81094,1
81218,81277,1
81349,81430,1
81351,81349,1
81395,81584,1
81430,81395,1
81443,81459,1
81498,81420,1
81500,81496,1
81584,81786,1
81702,81868,1
81702,81943,1
81727,81702,1
81786,81727,1
81923,81946,1
81943,81923,1
81946,82124,1
82124,82246,1
82177,82576,1
82246,82454,1
82454,82177,1
82576,82617,1
82617,82633,1
82633,82564,1
82733,82564,1
82748,83113,1
82967,83036,1
82967,83234,1
83036,83234,1
83234,82967,1
83234,83302,1
83302,83387,1
83302,83485,1
83313,83358,1
83358,83302,1
83387,83433,1
83447,83302,1
83485,83572,1
83587,83619,1
83589,83648,1
83637,83589,1
83646,83687,1
83646,83797,1
83687,83604,1
83799,83972,1
83907,83973,1
83973,84108,1
84019,84041,1
